row,corr
31,0
32,0
33,0
88,0
91,0
139,0
140,0
141,0
142,0
188,1
197,0
262,0
268,0
335,1
336,0
337,0
373,0
390,0
407,1
408,0
409,0
477,1
486,0
551,1
557,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,0
687,1
690,1
864,0
868,0
869,1
875,0
876,0
880,0
885,0
886,1
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,1
1137,0
1138,0
1372,0
1436,0
1437,0
1438,0
1439,0
1490,0
1494,0
1512,0
1513,0
1514,0
1515,0
1524,0
1525,0
1526,0
1531,0
1532,0
1533,0
1544,0
1545,0
1546,0
1547,0
1551,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1791,0
1795,0
2022,0
2023,0
2024,0
2025,1
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2282,0
2285,1
2291,0
2292,0
2295,1
2298,1
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,0
2549,0
2550,1
2801,0
2802,0
2803,0
2804,0
2805,0
2806,0
2807,0
2808,0
2809,0
2810,0
2811,1
2812,0
2813,0
2814,1
2815,0
2816,0
3031,0
3032,0
3033,0
3034,0
3035,0
3036,0
3037,0
3038,0
3039,1
3040,0
3041,0
3042,0
3043,0
3044,0
3045,0
3046,0
3047,0
3048,0
3049,0
3050,0
3056,0
3298,1
3300,0
3301,0
3302,0
3303,0
3304,0
3305,0
3306,0
3307,0
3308,1
3309,0
3310,0
3311,0
3312,0
3313,0
3314,0
3315,0
3316,0
3317,0
3318,0
3322,0
3323,0
3324,0
3325,0
3329,0
3330,0
3331,0
3575,0
3579,0
3580,0
3586,0
3590,0
3836,1
3837,0
3838,0
3843,0
3844,0
3845,0
3846,0
3847,0
3848,0
3849,0
3850,1
3853,1
3859,0
3860,0
3866,0
4084,1
4087,0
4093,0
4095,0
4097,1
4100,0
4101,0
4102,0
4110,0
4111,0
4112,0
4321,0
4322,0
4323,0
4324,0
4325,0
4326,0
4327,1
4328,0
4329,0
4330,0
4331,0
4332,0
4333,1
4334,0
4335,0
4336,0
4337,0
4338,0
4339,1
4340,0
4341,0
4342,1
4343,0
4344,0
4345,0
4346,0
4347,0
4562,0
4573,0
4576,1
4579,1
4582,0
4585,1
4591,1
4594,0
4843,1
4844,0
4845,0
4856,0
4859,0
4865,0
4866,1
4872,0
4873,1
5125,0
5126,0
5127,0
5128,1
5129,0
5130,0
5131,0
5132,0
5133,0
5134,0
5135,1
5136,0
5137,0
5138,0
5139,0
5140,0
5141,1
5142,1
5143,1
5144,0
5145,0
5146,0
5147,0
5148,1
5149,0
5151,0
5381,0
5382,0
5385,0
5388,0
5391,1
5397,0
5400,0
5401,0
5402,0
5618,0
5619,0
5620,0
5621,0
5622,0
5623,0
5624,0
5625,0
5626,0
5627,0
5628,0
5629,0
5630,0
5631,0
5632,0
5633,0
5634,0
5635,0
5636,0
5637,0
5638,1
5639,0
5640,0
5871,0
5872,0
5878,0
5879,0
5882,0
5885,1
5891,0
5898,0
6143,1
6144,0
6145,0
6146,0
6147,0
6148,0
6149,0
6155,0
6160,1
6163,1
6389,0
6392,1
6395,1
6400,0
6401,0
6402,0
6403,0
6404,0
